Date,Open,High,Low,Close,Adj Close,Volume,Hi-Low,SMA
8/4/2020,129.649994,131.710007,128.940002,131.639999,131.101028,6073200,2.770005,
8/5/2020,130.449997,130.75,128.830002,129.809998,129.278519,8503600,1.919998,
8/6/2020,129.130005,130.229996,129.029999,129.350006,128.820404,4832100,1.199997,
8/7/2020,129.580002,130.460007,129.110001,129.970001,129.437866,5516500,1.350006,
8/10/2020,130.240005,132.339996,129.649994,131.880005,131.340042,5894400,2.690002,
8/11/2020,132.589996,132.869995,129.729996,130.199997,129.666916,8453400,3.139999,
8/12/2020,130.470001,132.229996,129.080002,131.889999,131.350006,6372100,3.149994,
8/13/2020,131.210007,131.960007,130.729996,131.850006,131.850006,6622400,1.230011,
8/14/2020,132.339996,132.970001,131.630005,132.600006,132.600006,6702100,1.339996,
8/17/2020,134.350006,136.130005,133.850006,135.600006,135.600006,13155000,2.279999,
8/18/2020,136.169998,137.630005,133.169998,134.710007,134.710007,26744200,4.460007,
8/19/2020,134.210007,134.660004,131.850006,132.410004,132.410004,12718400,2.809998,
8/20/2020,131.210007,132.070007,130.050003,130.570007,130.570007,8936900,2.020004,
8/21/2020,130.550003,132.669998,130.100006,131.630005,131.630005,8288000,2.569992,
8/24/2020,132.25,132.479996,130.330002,131.330002,131.330002,6604600,2.149994,
8/25/2020,130.800003,131.240005,129.669998,130.630005,130.630005,7240800,1.570007,
8/26/2020,130.210007,130.880005,129.699997,130.699997,130.699997,6271600,1.180008,
8/27/2020,131.080002,139.350006,130.899994,136.630005,136.630005,39672900,8.450012,
8/28/2020,141,141.070007,137.839996,140.300003,140.300003,21350300,3.230011,
8/31/2020,137.479996,138.889999,135.529999,138.850006,138.850006,15078800,3.36,
9/1/2020,141.199997,149.589996,140.050003,147.589996,147.589996,35708200,9.539993,
9/2/2020,151.25,151.330002,145.610001,147.679993,147.679993,17222000,5.720001,
9/3/2020,146.699997,149.600006,141.809998,144.539993,144.539993,16005000,7.790008,
9/4/2020,144.020004,145.039993,140.100006,142.830002,142.830002,11327400,4.939987,
9/8/2020,141.410004,141.899994,138.259995,138.449997,138.449997,11322300,3.639999,
9/9/2020,140.089996,142.610001,139.449997,139.889999,139.889999,11223000,3.160004,
9/10/2020,140.059998,140.539993,136.589996,136.809998,136.809998,11236400,3.949997,
9/11/2020,137.050003,138.440002,135.550003,136.699997,136.699997,9626600,2.889999,
9/14/2020,136.139999,141.100006,135.880005,137.320007,137.320007,15244600,5.220001,
9/15/2020,138.229996,139.080002,136.679993,137.360001,137.360001,10142600,2.400009,
9/16/2020,138.410004,138.679993,136.050003,136.259995,136.259995,9286800,2.62999,
9/17/2020,135.429993,137.570007,135.020004,136.690002,136.690002,12415000,2.550003,
9/18/2020,136.440002,137.529999,134.75,135.289993,135.289993,18232500,2.779999,
9/21/2020,136.5,137.240005,135.289993,137.070007,137.070007,15486172,1.950012,
